C101.txt; Infinity; 3;   17
rC101.txt; Infinity; 33;   19
rC101.txt; Infinity; 34;   19
rC101.txt; Infinity; 21;   19
C101.txt; Infinity; 9;   19
C101.txt; Infinity; 3;   19
C101.txt; Infinity; 10;   19
C101.txt; Infinity; 21;    0
C101.txt; 956,78; 48;   11
C101.txt; 956,78; 49;   11
C101.txt; 956,78; 49;   11
C101.txt; 1109,22; 43;   15
C101.txt; 956,78; 49;   11
C101.txt; 956,78; 48;   11
C101.txt; 956,78; 49;   11
C101.txt; 956,78; 48;   11
rC101.txt; Infinity; 37;    0
rC101.txt; Infinity; 3;    0
rC101.txt; Infinity; 16;    0
rC101.txt; Infinity; 15;    0
C206.txt; 1355,30; 25;   10
C206.txt; 1355,30; 28;   10
C206.txt; 1355,30; 26;   10
C101.txt; 939,17; 43;   12
C102.txt; 1040,86; 43;   12
C103.txt; 980,86; 36;   11
C104.txt; 934,81; 27;   11
C105.txt; 1164,79; 34;   18
C106.txt; 942,91; 37;   11
C107.txt; 1111,08; 28;   12
C108.txt; 890,90; 29;   11
C109.txt; 1008,21; 25;   12
C201.txt; 1108,80; 46;    9
C201.txt; 1077,25; 30;   11
C201.txt; 1345,42; 6;   18
C201.txt; 1345,42; 11;   18
C201.txt; 1345,42; 39;   18
C201.txt; Infinity; 0;    0
C201.txt; 1331,83; 28;   18
C201.txt; 1331,83; 39;   18
C201.txt; 1331,83; 3;   18
C201.txt; Infinity; 0;    0
C101.txt; 1160,95; 41;   18
RC101.txt; Infinity; 14;    0
RC101.txt; Infinity; 57;    0
